Dissimilarity_Depth,Dissimilarity_Region,Site,Compare_Depths,Compare_Regions,Diss_type
0.793882018,0.518522059,B,in,0,Funct
0.692636395,0.917192411,B,out,10,Funct
0.557967668,0.443427628,C,in,0,Funct
0.495073873,0.496894243,C,out,10,Funct
0.683193319,0.392958706,Do,in,0,Funct
0.672017474,0.496408863,Do,out,10,Funct
0.9613221,0.575010703,Du,in,0,Funct
0.845117411,0.71440696,Du,out,10,Funct
0.899667588,0.496524838,W,in,0,Funct
0.548621154,0.696278279,W,out,10,Funct
0.404457935,0.450349169,B,in,0,Taxa
0.128167243,0.318143754,B,out,10,Taxa
0.263696479,0.39396625,C,in,0,Taxa
0.275288971,0.300991771,C,out,10,Taxa
0.883043477,0.492375402,Do,in,0,Taxa
0.714593621,0.374796361,Do,out,10,Taxa
0.801530602,0.614864557,Du,in,0,Taxa
0.428828307,0.355897714,Du,out,10,Taxa
0.756943813,0.521783837,W,in,0,Taxa
0.376538586,0.185169209,W,out,10,Taxa
