Dissimilarity_Dist_Surf,Dissimilarity_Depth,Dist,Site,Diss_type,Depth
0,0.70297541,0,L1,Funct,0
0.554765228,0.439837986,5.59,L2,Funct,0
0.61774293,0.30091055,14.3,L3,Funct,0
0.599093112,,10.67,L4,Funct,0
0.672294193,0.562640512,8.47,L5,Funct,0
0.626547598,,4.73,L6,Funct,0
0.68451684,,3.16,L7,Funct,0
0.700235225,,2.47,L8,Funct,0
0,,0,L1,Funct,10
0.769914337,,5.59,L2,Funct,10
0.827378596,,14.3,L3,Funct,10
0.827378596,,10.67,L4,Funct,10
,,8.47,L5,Funct,10
,,4.73,L6,Funct,10
,,3.16,L7,Funct,10
,,2.47,L8,Funct,10
0.081480964,0.425284392,0,L1,16S,0
0.257896091,0.212059155,5.59,L2,16S,0
0.399152996,0.639778526,14.3,L3,16S,0
0.514258493,,10.67,L4,16S,0
0.49914072,0.643140822,8.47,L5,16S,0
0.532903379,,4.73,L6,16S,0
0.490951409,,3.16,L7,16S,0
0.555627765,,2.47,L8,16S,0
0.257930077,,0,L1,16S,10
0.353854787,,5.59,L2,16S,10
0.684423832,,14.3,L3,16S,10
,,10.67,L4,16S,10
0.658892527,,8.47,L5,16S,10
,,4.73,L6,16S,10
,,3.16,L7,16S,10
,,2.47,L8,16S,10
0.221787016,0.685724112,0,L1,18S,0
0.376669631,0.539182201,5.59,L2,18S,0
0.596415389,0.87300793,14.3,L3,18S,0
0.754952952,,10.67,L4,18S,0
0.702557971,0.944611272,8.47,L5,18S,0
0.645967232,,4.73,L6,18S,0
0.573497261,,3.16,L7,18S,0
0.893573082,,2.47,L8,18S,0
0.428719173,,0,L1,18S,10
0.781944328,,5.59,L2,18S,10
0.90896208,,14.3,L3,18S,10
,,10.67,L4,18S,10
0.956878107,,8.47,L5,18S,10
,,4.73,L6,18S,10
,,3.16,L7,18S,10
,,2.47,L8,18S,10
